FIPS,name,state,population,lat,lon,area_sqmi
01001,Autauga County,Alabama,61920,32.532237,-86.64644,594.455
01003,Baldwin County,Alabama,267761,30.659218,-87.746067,1589.943
01005,Barbour County,Alabama,24607,31.870253,-85.405103,885.008
01007,Bibb County,Alabama,22262,33.015893,-87.127148,622.47
01009,Blount County,Alabama,60156,33.977358,-86.56644,644.905
01011,Bullock County,Alabama,9780,32.101759,-85.717261,622.815
01013,Butler County,Alabama,18100,31.751667,-86.681969,776.839
01015,Calhoun County,Alabama,115834,33.770516,-85.827909,605.894
01017,Chambers County,Alabama,34253,32.915504,-85.394032,596.559
01019,Cherokee County,Alabama,26413,34.069515,-85.654242,553.617
01021,Chilton County,Alabama,47708,32.854051,-86.726607,692.838
01023,Choctaw County,Alabama,11904,31.990954,-88.248889,913.479
01025,Clarke County,Alabama,22014,31.685521,-87.818624,1238.42
01027,Clay County,Alabama,14207,33.2704,-85.863525,603.962
01029,Cleburne County,Alabama,15970,33.671964,-85.516126,560.128
01031,Coffee County,Alabama,56953,31.402258,-85.989602,679.066
01033,Colbert County,Alabama,59474,34.703112,-87.801457,592.953
01035,Conecuh County,Alabama,10899,31.430926,-86.988722,850.279
01037,Coosa County,Alabama,10161,32.931445,-86.243482,650.909
01039,Covington County,Alabama,37947,31.243987,-86.448721,1030.573
01041,Crenshaw County,Alabama,13175,31.730311,-86.320038,608.865
01043,Cullman County,Alabama,94009,34.131923,-86.869267,734.749
01045,Dale County,Alabama,49912,31.430654,-85.609476,561.113
01047,Dallas County,Alabama,35140,32.333526,-87.11436,978.741
01049,DeKalb County,Alabama,74085,34.460915,-85.804021,777.077
01051,Elmore County,Alabama,91577,32.597229,-86.142735,618.52
01053,Escambia County,Alabama,36665,31.122287,-87.16841,945.408
01055,Etowah County,Alabama,103886,34.047641,-86.034263,535.143
01057,Fayette County,Alabama,15872,33.716157,-87.764292,627.684
01059,Franklin County,Alabama,32449,34.441989,-87.842814,633.959
01061,Geneva County,Alabama,27554,31.092382,-85.821022,574.485
01063,Greene County,Alabama,7067,32.844497,-87.9642,647.023
01065,Hale County,Alabama,15194,32.752796,-87.623061,643.991
01067,Henry County,Alabama,18394,31.516978,-85.239971,561.927
01069,Houston County,Alabama,110318,31.158183,-85.296411,579.828
01071,Jackson County,Alabama,54281,34.764114,-85.980056,1078.014
01073,Jefferson County,Alabama,665742,33.553444,-86.896536,1111.567
01075,Lamar County,Alabama,13587,33.787085,-88.087431,604.783
01077,Lauderdale County,Alabama,97135,34.904168,-87.651108,668.049
01079,Lawrence County,Alabama,33843,34.529776,-87.321865,690.685
01081,Lee County,Alabama,189881,32.604064,-85.353048,607.558
01083,Limestone County,Alabama,122928,34.810239,-86.981399,563.398
01085,Lowndes County,Alabama,9359,32.147888,-86.650586,716.085
01087,Macon County,Alabama,18132,32.387027,-85.692887,608.665
01089,Madison County,Alabama,433516,34.764238,-86.55108,801.619
01091,Marengo County,Alabama,18311,32.247591,-87.791091,976.898
01093,Marion County,Alabama,29097,34.138219,-87.881551,742.342
01095,Marshall County,Alabama,103537,34.309564,-86.321668,565.854
01097,Mobile County,Alabama,411658,30.684572,-88.196568,1229.382
01099,Monroe County,Alabama,18965,31.580353,-87.383342,1025.669
01101,Montgomery County,Alabama,225891,32.202881,-86.204461,785.355
01103,Morgan County,Alabama,126483,34.454484,-86.846402,579.677
01105,Perry County,Alabama,7425,32.639005,-87.293827,719.67
01107,Pickens County,Alabama,18221,33.2968,-88.096864,881.387
01109,Pike County,Alabama,33688,31.798653,-85.941608,672.067
01111,Randolph County,Alabama,23163,33.296461,-85.464064,580.55
01113,Russell County,Alabama,58898,32.289811,-85.18698,641.182
01115,St. Clair County,Alabama,98206,33.719491,-86.311327,631.61
01117,Shelby County,Alabama,238552,33.266893,-86.661007,785.455
